,Rank,year,MovieName,Genre,Number,Budget,Resource_x,Runtime,Release,GoldRelease,IssueDataOfGoldenWeek,ReleaseInfo,DoubanRate,Country,Distributor,Gross,Week,db_link,db_id,imdb_id,imdb_link,Maoyan_link_x,Maoyan_link_y,TotalWechatClicks,TotalWeiboClicks,Resource_y
83,32,2018,Apartment of Love,Adventure,2,,184,117,10-Aug,0,4,7,3.1,,,"$81,096,321 ",32,https://movie.douban.com/subject/24852545/,24852545,,,https://piaofang.maoyan.com/movie/1175253,https://piaofang.maoyan.com/movie/1175253,2071万+,4580666,1.84亿
84,32,2018,Apartment of Love,Comedy,6,,184,117,10-Aug,0,4,7,3.1,,,"$81,096,321 ",32,https://movie.douban.com/subject/24852545/,24852545,,,https://piaofang.maoyan.com/movie/1175253,https://piaofang.maoyan.com/movie/1175253,2071万+,4580666,1.84亿
85,33,2018,Tomb Raider,Action,1,"$94,000,000
            ",102,119,16-Mar,0,2,5,6,UK,WB,"$78,497,836 ",11,https://movie.douban.com/subject/3445906/,3445906,tt1365519,https://www.imdb.com/title/tt1365519/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/257739,https://piaofang.maoyan.com/movie/257739,,10211,1.02亿
86,33,2018,Tomb Raider,Adventure,2,"$94,000,000
            ",102,119,16-Mar,0,2,5,6,UK,WB,"$78,497,836 ",11,https://movie.douban.com/subject/3445906/,3445906,tt1365519,https://www.imdb.com/title/tt1365519/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/257739,https://piaofang.maoyan.com/movie/257739,,10211,1.02亿
87,33,2018,Tomb Raider,Fantasy,14,"$94,000,000
            ",102,119,16-Mar,0,2,5,6,UK,WB,"$78,497,836 ",11,https://movie.douban.com/subject/3445906/,3445906,tt1365519,https://www.imdb.com/title/tt1365519/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/257739,https://piaofang.maoyan.com/movie/257739,,10211,1.02亿
88,33,2018,Tomb Raider,Thriller,24,"$94,000,000
            ",102,119,16-Mar,0,2,5,6,UK,WB,"$78,497,836 ",11,https://movie.douban.com/subject/3445906/,3445906,tt1365519,https://www.imdb.com/title/tt1365519/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/257739,https://piaofang.maoyan.com/movie/257739,,10211,1.02亿
89,34,2017,Jumanji: Welcome to the Jungle,Action,1,"$90,000,000
            ",,119,12-Jan,0,1,0,6.9,USA,,"$77,946,567 ",2,https://movie.douban.com/subject/26586766/,26586766,tt2283362,https://www.imdb.com/title/tt2283362/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/341897,https://piaofang.maoyan.com/movie/341897,,,5.52亿
90,34,2017,Jumanji: Welcome to the Jungle,Adventure,2,"$90,000,000
            ",,119,12-Jan,0,1,0,6.9,USA,,"$77,946,567 ",2,https://movie.douban.com/subject/26586766/,26586766,tt2283362,https://www.imdb.com/title/tt2283362/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/341897,https://piaofang.maoyan.com/movie/341897,,,5.52亿
91,34,2017,Jumanji: Welcome to the Jungle,Comedy,6,"$90,000,000
            ",,119,12-Jan,0,1,0,6.9,USA,,"$77,946,567 ",2,https://movie.douban.com/subject/26586766/,26586766,tt2283362,https://www.imdb.com/title/tt2283362/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/341897,https://piaofang.maoyan.com/movie/341897,,,5.52亿
92,34,2017,Jumanji: Welcome to the Jungle,Fantasy,14,"$90,000,000
            ",,119,12-Jan,0,1,0,6.9,USA,,"$77,946,567 ",2,https://movie.douban.com/subject/26586766/,26586766,tt2283362,https://www.imdb.com/title/tt2283362/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/341897,https://piaofang.maoyan.com/movie/341897,,,5.52亿
93,35,2018,Animal World,Adventure,2,,208,132,29-Jun,1,3,7,7.2,China,,"$74,559,221 ",26,https://movie.douban.com/subject/26925317/,26925317,tt7946836,https://www.imdb.com/title/tt7946836/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/1198178,https://piaofang.maoyan.com/movie/1198178,,4991688,
94,35,2018,Animal World,Thriller,24,,208,132,29-Jun,1,3,7,7.2,China,,"$74,559,221 ",26,https://movie.douban.com/subject/26925317/,26925317,tt7946836,https://www.imdb.com/title/tt7946836/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/1198178,https://piaofang.maoyan.com/movie/1198178,,4991688,
95,36,2017,Amazing China,Documentary,11,,126,90,2-Mar,0,2,14,8.2,China,,"$72,506,343 ",9,https://movie.douban.com/subject/27141911/,27141911,tt8081062,https://www.imdb.com/title/tt8081062/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/1217637,https://piaofang.maoyan.com/movie/1217637,493万+,154355,1.26亿
96,37,2018,L Storm,Action,1,,423.66,90,14-Sep,0,4,6,5.6,Hong,,"$63,894,019 ",37,https://movie.douban.com/subject/26996640/,26996640,tt8031554,https://www.imdb.com/title/tt8031554/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/1203575,https://piaofang.maoyan.com/movie/1203575,179万+,248981,4240.6万
97,38,2018,Spider-Man: Into The Spider-Verse,Action,1,"$90,000,000
            ",137.42,117,21-Dec,0,1,3,8.7,USA,,"$62,234,467 ",51,https://movie.douban.com/subject/26374197/,26374197,tt4633694,https://www.imdb.com/title/tt4633694/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/1212512,https://piaofang.maoyan.com/movie/1212512,306万+,782304,1414.6万
98,38,2018,Spider-Man: Into The Spider-Verse,Adventure,2,"$90,000,000
            ",137.42,117,21-Dec,0,1,3,8.7,USA,,"$62,234,467 ",51,https://movie.douban.com/subject/26374197/,26374197,tt4633694,https://www.imdb.com/title/tt4633694/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/1212512,https://piaofang.maoyan.com/movie/1212512,306万+,782304,1414.6万
99,38,2018,Spider-Man: Into The Spider-Verse,Animation,3,"$90,000,000
            ",137.42,117,21-Dec,0,1,3,8.7,USA,,"$62,234,467 ",51,https://movie.douban.com/subject/26374197/,26374197,tt4633694,https://www.imdb.com/title/tt4633694/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/1212512,https://piaofang.maoyan.com/movie/1212512,306万+,782304,1414.6万
100,38,2018,Spider-Man: Into The Spider-Verse,Comedy,6,"$90,000,000
            ",137.42,117,21-Dec,0,1,3,8.7,USA,,"$62,234,467 ",51,https://movie.douban.com/subject/26374197/,26374197,tt4633694,https://www.imdb.com/title/tt4633694/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/1212512,https://piaofang.maoyan.com/movie/1212512,306万+,782304,1414.6万
101,38,2018,Spider-Man: Into The Spider-Verse,Family,13,"$90,000,000
            ",137.42,117,21-Dec,0,1,3,8.7,USA,,"$62,234,467 ",51,https://movie.douban.com/subject/26374197/,26374197,tt4633694,https://www.imdb.com/title/tt4633694/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/1212512,https://piaofang.maoyan.com/movie/1212512,306万+,782304,1414.6万
102,38,2018,Spider-Man: Into The Spider-Verse,Sci-Fi,21,"$90,000,000
            ",137.42,117,21-Dec,0,1,3,8.7,USA,,"$62,234,467 ",51,https://movie.douban.com/subject/26374197/,26374197,tt4633694,https://www.imdb.com/title/tt4633694/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/1212512,https://piaofang.maoyan.com/movie/1212512,306万+,782304,1414.6万
103,39,2018,Fantastic Beasts: The Crimes of Grindelwald,Adventure,2,"$200,000,000
            ",215.12,134,16-Nov,1,5,5,7.2,UK,,"$57,781,863 ",46,https://movie.douban.com/subject/26147417/,26147417,tt4123430,https://www.imdb.com/title/tt4123430/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/577564,https://piaofang.maoyan.com/movie/577564,157万+,1839983,
104,39,2018,Fantastic Beasts: The Crimes of Grindelwald,Family,13,"$200,000,000
            ",215.12,134,16-Nov,1,5,5,7.2,UK,,"$57,781,863 ",46,https://movie.douban.com/subject/26147417/,26147417,tt4123430,https://www.imdb.com/title/tt4123430/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/577564,https://piaofang.maoyan.com/movie/577564,157万+,1839983,
105,39,2018,Fantastic Beasts: The Crimes of Grindelwald,Fantasy,14,"$200,000,000
            ",215.12,134,16-Nov,1,5,5,7.2,UK,,"$57,781,863 ",46,https://movie.douban.com/subject/26147417/,26147417,tt4123430,https://www.imdb.com/title/tt4123430/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/577564,https://piaofang.maoyan.com/movie/577564,157万+,1839983,
106,40,2018,A or B,Crime,8,,124,114,28-Apr,0,2,5,5.7,China,,"$56,055,948 ",17,https://movie.douban.com/subject/26774033/,26774033,tt8366766,https://www.imdb.com/title/tt8366766/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/346637,https://piaofang.maoyan.com/movie/346637,741万+,225739,1.25亿
107,40,2018,A or B,Thriller,24,,124,114,28-Apr,0,2,5,5.7,China,,"$56,055,948 ",17,https://movie.douban.com/subject/26774033/,26774033,tt8366766,https://www.imdb.com/title/tt8366766/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/346637,https://piaofang.maoyan.com/movie/346637,741万+,225739,1.25亿
108,41,2018,Go Brother!,Fantasy,14,,412.02,115,17-Aug,0,4,8,6.9,China,,"$54,608,418 ",33,https://movie.douban.com/subject/30122633/,30122633,tt8774260,https://www.imdb.com/title/tt8774260/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/1216446,https://piaofang.maoyan.com/movie/1216446,261万+,3551017,4125.4万
109,42,2018,Incredibles 2,Action,1,"$200,000,000
            ",622.83,118,22-Jun,1,3,9,7.9,USA,,"$51,473,064 ",25,https://movie.douban.com/subject/25849049/,25849049,tt3606756,https://www.imdb.com/title/tt3606756/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/338385,https://piaofang.maoyan.com/movie/338385,218万+,256474,6234.1万
110,42,2018,Incredibles 2,Adventure,2,"$200,000,000
            ",622.83,118,22-Jun,1,3,9,7.9,USA,,"$51,473,064 ",25,https://movie.douban.com/subject/25849049/,25849049,tt3606756,https://www.imdb.com/title/tt3606756/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/338385,https://piaofang.maoyan.com/movie/338385,218万+,256474,6234.1万
111,42,2018,Incredibles 2,Animation,3,"$200,000,000
            ",622.83,118,22-Jun,1,3,9,7.9,USA,,"$51,473,064 ",25,https://movie.douban.com/subject/25849049/,25849049,tt3606756,https://www.imdb.com/title/tt3606756/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/338385,https://piaofang.maoyan.com/movie/338385,218万+,256474,6234.1万
112,42,2018,Incredibles 2,Comedy,6,"$200,000,000
            ",622.83,118,22-Jun,1,3,9,7.9,USA,,"$51,473,064 ",25,https://movie.douban.com/subject/25849049/,25849049,tt3606756,https://www.imdb.com/title/tt3606756/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/338385,https://piaofang.maoyan.com/movie/338385,218万+,256474,6234.1万
113,42,2018,Incredibles 2,Family,13,"$200,000,000
            ",622.83,118,22-Jun,1,3,9,7.9,USA,,"$51,473,064 ",25,https://movie.douban.com/subject/25849049/,25849049,tt3606756,https://www.imdb.com/title/tt3606756/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/338385,https://piaofang.maoyan.com/movie/338385,218万+,256474,6234.1万
114,42,2018,Incredibles 2,Sci-Fi,21,"$200,000,000
            ",622.83,118,22-Jun,1,3,9,7.9,USA,,"$51,473,064 ",25,https://movie.douban.com/subject/25849049/,25849049,tt3606756,https://www.imdb.com/title/tt3606756/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/338385,https://piaofang.maoyan.com/movie/338385,218万+,256474,6234.1万
115,43,2018,Cry Me a Sad River,Romance,20,,699.33,104,21-Sep,0,4,9,5.8,China,,"$51,325,368 ",38,https://movie.douban.com/subject/27102569/,27102569,tt9036926,https://www.imdb.com/title/tt9036926/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/1217236,https://piaofang.maoyan.com/movie/1217236,325万+,1861187,7012.9万
116,44,2018,Maze Runner: The Death Cure,Action,1,"$62,000,000
            ",,143,26-Jan,0,1,25,5.3,USA,Fox,"$48,720,608 ",4,https://movie.douban.com/subject/26004132/,26004132,tt4500922,https://www.imdb.com/title/tt4500922/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/248639,https://piaofang.maoyan.com/movie/248639,,,3267.0万
