,Rank,MovieName,Distributor,Gross,Release,Week,BOM_link,ReleaseInfo,db_link,db_id,rating,year,imdb_id,imdb_link,Runtime,Budget,Country,GoldRelease,IssueDataOfGoldenWeek,Genre,Number,Maoyan_link,TotalWechatClicks,TotalWeiboClicks,Resource
207,71,Doraemon: Great Adventure in the Antarctic Kachi Kochi,,"$21,468,215 ",30-May,22,https://www.boxofficemojo.com//movies/intl/?id=_fDORAEMONGREATADV02&country=CH&wk=2017W22&id=_fDORAEMONGREATADV02&p=.htm,4,https://movie.douban.com/subject/3755531/,3755531,7.9,2007,tt5912470,https://www.imdb.com/title/tt5912470/?ref_=nv_sr_1,101,,Japan,1,3,Fantasy,14,,,,
208,71,Doraemon: Great Adventure in the Antarctic Kachi Kochi,,"$21,468,215 ",30-May,22,https://www.boxofficemojo.com//movies/intl/?id=_fDORAEMONGREATADV02&country=CH&wk=2017W22&id=_fDORAEMONGREATADV02&p=.htm,4,https://movie.douban.com/subject/3755531/,3755531,7.9,2007,tt5912470,https://www.imdb.com/title/tt5912470/?ref_=nv_sr_1,101,,Japan,1,3,Sci-Fi,21,,,,
209,72,The Hitman's Bodyguard,Cristal,"$21,146,741 ",22-Sep,38,https://www.boxofficemojo.com//movies/?page=intl&id=hitmansbodyguard.htm,5,https://movie.douban.com/subject/22266126/,22266126,7.2,2017,tt1959563,https://www.imdb.com/title/tt1959563/?ref_=nv_sr_1,178,"$30,000,000 ",USA,0,4,Action,1,,,,
210,73,Cars 3,Disney,"$20,826,558 ",25-Aug,34,https://www.boxofficemojo.com//movies/?page=intl&id=cars3.htm,5,https://movie.douban.com/subject/25849480/,25849480,7,2017,tt3606752,https://www.imdb.com/title/tt3606752/?ref_=nv_sr_1,102,"$175,000,000 ",USA,0,4,Animation,3,https://piaofang.maoyan.com/movie/1105638,,,
211,73,Cars 3,Disney,"$20,826,558 ",25-Aug,34,https://www.boxofficemojo.com//movies/?page=intl&id=cars3.htm,5,https://movie.douban.com/subject/25849480/,25849480,7,2017,tt3606752,https://www.imdb.com/title/tt3606752/?ref_=nv_sr_1,102,"$175,000,000 ",USA,0,4,Adventure,2,https://piaofang.maoyan.com/movie/1105638,,,
212,73,Cars 3,Disney,"$20,826,558 ",25-Aug,34,https://www.boxofficemojo.com//movies/?page=intl&id=cars3.htm,5,https://movie.douban.com/subject/25849480/,25849480,7,2017,tt3606752,https://www.imdb.com/title/tt3606752/?ref_=nv_sr_1,102,"$175,000,000 ",USA,0,4,Comedy,6,https://piaofang.maoyan.com/movie/1105638,,,
213,73,Cars 3,Disney,"$20,826,558 ",25-Aug,34,https://www.boxofficemojo.com//movies/?page=intl&id=cars3.htm,5,https://movie.douban.com/subject/25849480/,25849480,7,2017,tt3606752,https://www.imdb.com/title/tt3606752/?ref_=nv_sr_1,102,"$175,000,000 ",USA,0,4,Family,13,https://piaofang.maoyan.com/movie/1105638,,,
214,73,Cars 3,Disney,"$20,826,558 ",25-Aug,34,https://www.boxofficemojo.com//movies/?page=intl&id=cars3.htm,5,https://movie.douban.com/subject/25849480/,25849480,7,2017,tt3606752,https://www.imdb.com/title/tt3606752/?ref_=nv_sr_1,102,"$175,000,000 ",USA,0,4,Sport,22,https://piaofang.maoyan.com/movie/1105638,,,
215,75,Life (2017),,"$19,881,127 ",19-May,20,https://www.boxofficemojo.com//movies/?page=intl&id=life2017.htm,4,https://movie.douban.com/subject/26718838/,26718838,6.5,2017,tt6504014,https://www.imdb.com/title/tt6504014/?ref_=nv_sr_1,,,USA,1,3,Documentary,11,https://piaofang.maoyan.com/movie/1086560,,,
216,75,Life (2017),,"$19,881,127 ",19-May,20,https://www.boxofficemojo.com//movies/?page=intl&id=life2017.htm,4,https://movie.douban.com/subject/26718838/,26718838,6.5,2017,tt6504014,https://www.imdb.com/title/tt6504014/?ref_=nv_sr_1,,,USA,1,3,Short,28,https://piaofang.maoyan.com/movie/1086560,,,
217,76,Father and Son,,"$18,764,047 ",21-Jul,29,https://www.boxofficemojo.com//movies/intl/?id=_fFATHERANDSON01&country=CH&wk=2017W29&id=_fFATHERANDSON01&p=.htm,6,https://movie.douban.com/subject/26898747/,26898747,4.6,2017,tt0363249,https://www.imdb.com/title/tt0363249/?ref_=nv_sr_1,83,,Russia,0,4,Drama,12,https://piaofang.maoyan.com/movie/765766,,,
