,Rank,MovieName,Distributor,Gross,Release,Week,BOM_link,ReleaseInfo,db_link,db_id,rating,year,imdb_id,imdb_link,Runtime,Budget,Country,GoldRelease,IssueDataOfGoldenWeek,Genre,Number
19,6,Operation MeKong,,"$172,477,764 ",30-Sep,39,https://www.boxofficemojo.com//movies/?page=intl&id=operationmekong.htm,118,https://movie.douban.com/subject/25815034/,25815034,8,2016,tt6044910,https://www.imdb.com/title/tt6044910/?ref_=nv_sr_1,124,"$30,200,000 ",China,0,4,Mystery,19
20,6,Operation MeKong,,"$172,477,764 ",30-Sep,39,https://www.boxofficemojo.com//movies/?page=intl&id=operationmekong.htm,118,https://movie.douban.com/subject/25815034/,25815034,8,2016,tt6044910,https://www.imdb.com/title/tt6044910/?ref_=nv_sr_1,124,"$30,200,000 ",China,0,4,Thriller,24
21,7,From Vegas to Macau 3 (Du cheng feng yun III),,"$172,104,369 ",8-Feb,6,https://www.boxofficemojo.com//movies/intl/?id=_fFROMVEGASTOMACAU01&country=CH&wk=2016W6&id=_fFROMVEGASTOMACAU01&p=.htm,6,https://movie.douban.com/subject/26334559/,26334559,4,2016,tt5237980,https://www.imdb.com/title/tt5237980/?ref_=fn_al_tt_1,113,,China,0,1,Comedy,6
22,8,The Great Wall,,"$170,962,106 ",16-Dec,50,https://www.boxofficemojo.com//movies/?page=intl&id=greatwall.htm,11,https://movie.douban.com/subject/6982558/,6982558,4.9,2016,tt2034800,https://www.imdb.com/title/tt2034800/?ref_=nv_sr_1,103,"$150,000,000 ",USA,0,1,Action,1
22,8,The Great Wall,,"$170,962,106 ",16-Dec,50,https://www.boxofficemojo.com//movies/?page=intl&id=greatwall.htm,11,https://movie.douban.com/subject/6982558/,6982558,4.9,2016,tt2034800,https://www.imdb.com/title/tt2034800/?ref_=nv_sr_1,103,"$150,000,000 ",USA,0,1,Adventure,2
23,9,Kung Fu Panda 3,,"$154,304,371 ",29-Jan,5,https://www.boxofficemojo.com//movies/?page=intl&id=kungfupanda3.htm,12,https://movie.douban.com/subject/11589036/,11589036,7.6,2016,tt2267968,https://www.imdb.com/title/tt2267968/?ref_=nv_sr_1,95,"$145,000,000 ",China,0,1,Animation,3
24,10,The Jungle Book (2016),Disney,"$150,140,000 ",15-Apr,15,https://www.boxofficemojo.com//movies/?page=intl&id=junglebook2015.htm,9,https://movie.douban.com/subject/25777636/,25777636,7.8,2016,tt3040964,https://www.imdb.com/title/tt3040964/?ref_=fn_al_tt_1,106,"$175,000,000 ",UK,0,2,Drama,12
24,10,The Jungle Book (2016),Disney,"$150,140,000 ",15-Apr,15,https://www.boxofficemojo.com//movies/?page=intl&id=junglebook2015.htm,9,https://movie.douban.com/subject/25777636/,25777636,7.8,2016,tt3040964,https://www.imdb.com/title/tt3040964/?ref_=fn_al_tt_1,106,"$175,000,000 ",UK,0,2,Adventure,2
25,11,Time Raiders,HuaXia,"$145,692,957 ",5-Aug,31,https://www.boxofficemojo.com//movies/intl/?id=_fTIMERAIDERS01&country=CH&wk=2016W32&id=_fTIMERAIDERS01&p=.htm,9,https://movie.douban.com/subject/24827387/,24827387,4.7,2016,tt5354664,https://www.imdb.com/title/tt5354664/?ref_=nv_sr_1,124,"CNY&nbsp;175,000,000",China,0,4,Adventure,2
26,11,Time Raiders,HuaXia,"$145,692,957 ",5-Aug,31,https://www.boxofficemojo.com//movies/intl/?id=_fTIMERAIDERS01&country=CH&wk=2016W32&id=_fTIMERAIDERS01&p=.htm,9,https://movie.douban.com/subject/24827387/,24827387,4.7,2016,tt5354664,https://www.imdb.com/title/tt5354664/?ref_=nv_sr_1,124,"CNY&nbsp;175,000,000",China,0,4,Fantasy,14
27,12,Skiptrace,,"$129,014,985 ",21-Jul,29,https://www.boxofficemojo.com//movies/intl/?id=_fSKIPTRACE01&country=CH&wk=2016W29&id=_fSKIPTRACE01&p=.htm,6,https://movie.douban.com/subject/24529353/,24529353,5.6,2016,tt2238032,https://www.imdb.com/title/tt2238032/?ref_=nv_sr_1,107,"$32,000,000 ",China,0,4,Action,1
28,12,Skiptrace,,"$129,014,985 ",21-Jul,29,https://www.boxofficemojo.com//movies/intl/?id=_fSKIPTRACE01&country=CH&wk=2016W29&id=_fSKIPTRACE01&p=.htm,6,https://movie.douban.com/subject/24529353/,24529353,5.6,2016,tt2238032,https://www.imdb.com/title/tt2238032/?ref_=nv_sr_1,107,"$32,000,000 ",China,0,4,Adventure,2
29,12,Skiptrace,,"$129,014,985 ",21-Jul,29,https://www.boxofficemojo.com//movies/intl/?id=_fSKIPTRACE01&country=CH&wk=2016W29&id=_fSKIPTRACE01&p=.htm,6,https://movie.douban.com/subject/24529353/,24529353,5.6,2016,tt2238032,https://www.imdb.com/title/tt2238032/?ref_=nv_sr_1,107,"$32,000,000 ",China,0,4,Comedy,6
30,12,Skiptrace,,"$129,014,985 ",21-Jul,29,https://www.boxofficemojo.com//movies/intl/?id=_fSKIPTRACE01&country=CH&wk=2016W29&id=_fSKIPTRACE01&p=.htm,6,https://movie.douban.com/subject/24529353/,24529353,5.6,2016,tt2238032,https://www.imdb.com/title/tt2238032/?ref_=nv_sr_1,107,"$32,000,000 ",China,0,4,Crime,8
31,12,Skiptrace,,"$129,014,985 ",21-Jul,29,https://www.boxofficemojo.com//movies/intl/?id=_fSKIPTRACE01&country=CH&wk=2016W29&id=_fSKIPTRACE01&p=.htm,6,https://movie.douban.com/subject/24529353/,24529353,5.6,2016,tt2238032,https://www.imdb.com/title/tt2238032/?ref_=nv_sr_1,107,"$32,000,000 ",China,0,4,Thriller,24
